id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"11233502","2012-06-27 19:21:52","1","497","Inconsistent R^2 adjusted values in pandas OLS","1","0","","Preyas","35","Wes McKinney","57658"
"11235604","2012-06-27 22:21:04","0","473","nosetests: algorithms.py:125: RuntimeWarning: tp_compare didn't return -1 or -2 for exception","1","0","","user1487028","6","",""
"11253390","2012-06-28 21:47:30","1","670","Find all elements in dataframe column that startswith string","1","0","","Julio Guzman","41","",""
"11264307","2012-06-29 15:09:28","10","8309","Adding levels to MultiIndex, removing without losing","1","0","4","Arthur G","1077","Arthur G","1077"
"11265116","2012-06-29 15:58:11","1","5927","Most efficient way to calculate the mean of a group of columns in a pandas DataFrame","2","0","1","Einar","1846","DSM","218186"
"11285613","2012-07-01 21:03:16","744","1537913","Selecting multiple columns in a pandas dataframe","16","5","220","user1234440","5711","ely","40334"
"11289670","2012-07-02 07:52:09","0","905",".EXE installer crashes when installing Python modules: IPython, Pandas and Matplotlib","3","1","","","","",""
"11306167","2012-07-03 07:16:53","1","1136","Pandas slicing on a timeseries seems inconsistent with list slicing","1","2","","Lamarth","23","eumiro","133966"
"11321243","2012-07-04 01:09:56","3","1690","grouped pandas DataFrames: how do I apply scipy.stats.sem to them?","1","4","2","Randy Olson","1666","ely","40334"
"11329611","2012-07-04 12:57:23","0","1262","Python Pandas: to_panel() from dataframe returns weird numbers for binary variable","2","0","","user1501612","1","",""
"11334098","2012-07-04 18:43:10","2","8551","How to take out the column index name in dataframe","2","0","0","user1234440","5711","ely","40334"
"11350488","2012-07-05 18:38:37","1","930","Efficient way to calculate averages, standard deviations from a txt file","1","2","0","user1504774","52","Amyunimus","748"
"11362376","2012-07-06 12:39:18","1","140","Append extras informations to Series in Pandas","1","0","","LionelR","105","",""
"11362943","2012-07-06 13:16:37","15","14340","Efficient Cointegration Test in Python","3","1","8","Akavall","42871","",""
"11391969","2012-07-09 09:04:33","62","55639","How to group pandas DataFrame entries by date in a non-unique column","5","1","23","Boris Gorelik","12142","DACW","1128"
"11398688","2012-07-09 15:51:48","1","599","merging DataFrames with pandas","1","0","","Claus","1503","Chang She","11200"
"11414596","2012-07-10 13:40:36","5","9217","dropping a row in pandas with dates indexes, python","2","0","","user1504276","6917","eumiro","133966"
"11415701","2012-07-10 14:36:11","16","19573","Efficiently construct Pandas DataFrame from large list of tuples/rows","2","2","4","ely","40334","eumiro","133966"
"11416692","2012-07-10 15:26:15","1","797","Plotting millisecond range in pandas","1","0","","user1515250","30","Chang She","11200"
"11418192","2012-07-10 16:56:37","74","46480","pandas: complex filter on rows of DataFrame","5","0","12","duckworthd","6261","duckworthd","6261"
"11422552","2012-07-10 21:48:20","3","365","pandas: bypassing numerical index","1","0","","duckworthd","6261","Chang She","11200"
"11423690","2012-07-10 23:55:38","1","1133","better method to aggregate pandas dataframe by non matching criteria","1","0","1","mrjoh3","168","Wes McKinney","57658"
"11423790","2012-07-11 00:09:49","1","608","Why am I getting an is_monotonic assertion error using pandas Series.asfreq","1","0","","MikeRand","2193","Chang She","11200"
"11492215","2012-07-15 13:14:38","3","1202","How to do a groupby on an empty set of columns in Pandas?","2","0","","joelhoro","421","DSM","218186"
"11515290","2012-07-17 02:35:00","3","982","Snapping to hours in pandas","2","1","","Lamarth","23","",""
"11548005","2012-07-18 18:30:02","119","38368","NumPy or Pandas: Keeping array type as integer while having a NaN value","6","4","24","ely","40334","techvslife","932"
"11553370","2012-07-19 03:06:07","1","1733","Efficient method for getting elementwise types in Python/Pandas","1","5","","ely","40334","Wes McKinney","57658"
"11586068","2012-07-20 19:49:20","1","1235","Collapse a Pandas multiindex or run OLS regression on a multiindexed dataframe","1","1","2","David M","84","",""
"11586989","2012-07-20 21:11:28","8","10891","pandas, matplotlib, use dataframe index as axis tick labels","3","0","4","tbc","1077","PJW","755"
"11607387","2012-07-23 06:24:19","8","9393","Is there a C/C++ API for python pandas?","3","0","4","THM","325","ecatmur","115535"
"11613800","2012-07-23 13:45:07","1","4149","How to install and run pandas python library in Eclipse Juno?","1","0","","Nick","142","",""
"11619144","2012-07-23 19:26:32","0","642","Pandas xaxis auto-format issue","2","0","","joelhoro","421","HYRY","67243"
"11620721","2012-07-23 21:23:50","6","3457","handling missing data in Pandas","1","0","4","vgoklani","2605","Chang She","11200"
"11637384","2012-07-24 18:50:11","19","31294","Pandas join/merge/concat two dataframes","2","0","5","Michael WS","928","Wes McKinney","57658"
"11640243","2012-07-24 22:30:16","49","42955","PANDAS plot multiple Y axes","2","0","19","Joran Beasley","74816","Chang She","11200"
"11651048","2012-07-25 13:38:37","3","522","Pandas: pivot a dataframe","1","0","2","Guy Adini","3568","eumiro","133966"
"11672403","2012-07-26 15:09:43","6","1756","Adding my own description attribute to a Pandas DataFrame","1","0","1","ely","40334","",""
"11673453","2012-07-26 16:06:06","2","3267","Import historical Metatrader CSV data to Python with Pandas library (date/time parsing)","3","0","","Femto Trader","914","Chang She","11200"
"11679716","2012-07-26 23:57:40","1","482","Comparing DateOffsets in pandas","1","1","","scry","797","Chang She","11200"
"11697887","2012-07-28 02:59:02","66","23464","Converting Django QuerySet to pandas DataFrame","5","6","21","Franco Mariluis","531","",""
"11728836","2012-07-30 20:08:57","88","6556","Efficiently applying a function to a grouped pandas DataFrame in parallel","1","7","19","user2303","628","",""
"11740587","2012-07-31 12:54:59","0","185","pandas: taking corresponding differences","1","0","1","user1504276","6917","",""
"11761884","2012-08-01 14:52:59","3","853","pandas concat('outer') not doing union?","1","0","","jf328","2112","Wes McKinney","57658"
"11762815","2012-08-01 15:41:19","6","3081","How to resample a python pandas TimeSeries containing dytpe Decimal values?","2","1","","THM","325","THM","325"
"11763204","2012-08-01 16:04:15","5","4973","How to efficiently handle european decimal separators using the pandas read_csv function?","1","2","1","THM","325","lbolla","4781"
"11773862","2012-08-02 08:40:01","2","838","Unexpected result when upsampling hourly values using the pandas resample function","1","1","","THM","325","SiggyF","13628"
"11787883","2012-08-03 00:55:14","3","837","pandas - More efficient way to calculate two Series with circular dependencies","1","0","1","MikeRand","2193","Chang She","11200"
"11794584","2012-08-03 11:11:12","0","293","pandas - cumprod when prior index is in denominator and numerator","1","0","","MikeRand","2193","",""
"11795992","2012-08-03 12:44:23","2","548","Pandas: Efficiently splitting entries","1","0","","Fede_v","43","",""
"11811392","2012-08-04 19:25:34","17","21866","How to generate a list from a pandas DataFrame with the column name and column values?","5","0","6","turtle","1778","BrenBarn","166891"
"11824341","2012-08-06 07:47:34","0","1755","Pandas: date_range error","5","2","","scry","797","scry","797"
"11836286","2012-08-06 21:33:08","2","3496","Pulling variable names when using pandas and statsmodels","2","0","","user1074057","812","DSM","218186"
"11848578","2012-08-07 14:50:42","1","482","Pandas messing up dataframe","2","3","","user1569050","3339","user1569050","3339"
"11858472","2012-08-08 05:57:33","57","52399","String concatenation of two pandas columns","6","1","24","nat","301","",""
"11869910","2012-08-08 17:25:37","261","419629","pandas: filter rows of DataFrame with operator chaining","14","1","95","duckworthd","6261","Wouter Overmeire","31478"
"11870058","2012-08-08 17:36:35","0","416","pandas: stacking DataFrames generated by apply","1","0","","duckworthd","6261","",""
"11871152","2012-08-08 18:49:06","0","1471","Handle with European date format in python pandas","1","0","","Nicola Vianello","670","Chang She","11200"
"11885916","2012-08-09 14:41:05","7","911","Joining a Pandas series with a hierarchical index back to the source DataFrame","2","0","3","JD Long","37144","Wouter Overmeire","31478"
"11887504","2012-08-09 16:09:31","3","778","Add seconds to python datetime excluding weekends","1","1","1","UNagaswamy","696","Ghopper21","5937"
"11888599","2012-08-09 17:15:40","2","886","Python pandas to partially collapse 2d matrix","1","0","","alexhli","60","bmu","22706"
"11889474","2012-08-09 18:12:21","10","5340","Converting data to missing in pandas","1","0","","DanB","1151","BrenBarn","166891"
"11918342","2012-08-11 23:01:25","3","5938","Converting date/time in Pandas","3","1","1","vgoklani","2605","jdmarino","305"
"11920721","2012-08-12 08:12:11","6","2457","pandas dataframe - change values based on column heading","2","0","1","Tony","120","jrouquie","3619"
"11925827","2012-08-12 20:57:10","4","7990","pandas: Writing to an existing excel file (xlsx) using to_excel","1","0","1","Peter","501","Y__","1416"
"11927715","2012-08-13 03:02:57","57","67967","How to give a pandas/matplotlib bar graph custom colors","3","1","19","vasek1","3803","ely","40334"
"11940420","2012-08-13 18:47:16","3","228","Pandas: Separating grouping and indexing","1","0","1","Freddie Witherden","1211","Wouter Overmeire","31478"
"11941492","2012-08-13 20:07:07","33","29952","Selecting rows from a Pandas dataframe with a compound (hierarchical) index","3","0","25","JD Long","37144","Wes McKinney","57658"
"11945897","2012-08-14 04:43:43","1","1022","DataFrame.from_records convert (Django) datetime to datetime64: Value Error","2","0","","Paul","8","Wes McKinney","57658"
"11970614","2012-08-15 13:57:39","2","857","Force exponent display of floats in pandas","1","0","1","user1600653","52","Wouter Overmeire","31478"
"11973741","2012-08-15 17:04:17","7","22506","Filtering and selecting from pivot tables made with python pandas","2","0","1","alexhli","60","",""
"11976503","2012-08-15 20:10:04","91","34905","How to keep index when using pandas merge","3","2","31","DanB","1151","Wouter Overmeire","31478"
"11987270","2012-08-16 12:36:11","0","586","Getting MemoryError from DataFrame.sortlevel in pandas","3","6","","SlimJim","1489","",""
"11991627","2012-08-16 16:27:44","12","36971","Selecting a subset of a Pandas DataFrame indexed by DatetimeIndex with a list of TimeStamps","1","0","4","seumas","392","Wouter Overmeire","31478"
"11994765","2012-08-16 20:11:51","8","6719","pandas DataFrame.to_string() truncating strings from columns","2","2","","Kunal B.","43","Wouter Overmeire","31478"
"12007406","2012-08-17 14:08:18","9","5689","Divide DataFrame by first row","1","0","3","bigsleep","152","Wouter Overmeire","31478"
"12021730","2012-08-18 19:45:34","33","17351","Can pandas handle variable-length whitespace as column delimiters","3","7","5","zach","9224","DSM","218186"
"12021754","2012-08-18 19:49:41","26","60718","How to slice a Pandas Data Frame by position?","3","0","8","turtle","1778","RuiDC","3314"
"12022823","2012-08-18 22:50:26","2","1742","appending columns produces NaN in pandas DataFrame","1","0","1","nat","301","",""
"12030398","2012-08-19 22:06:01","2","5116","concatenate multiple columns based on index in pandas","1","2","2","zach","9224","DSM","218186"
"12031532","2012-08-20 02:04:05","0","726","possible inconsistency in text handling of pandas read_table() function","1","8","","zach","9224","Wouter Overmeire","31478"
"12034727","2012-08-20 08:53:05","1","233","How to revert an unstacked dataframe in pandas","1","0","","SlimJim","1489","Wouter Overmeire","31478"
"12047193","2012-08-21 01:02:02","85","158931","How to convert SQL Query result to PANDAS Data Structure?","15","3","60","user1613017","438","Daniel Velkov","19019"
"12047418","2012-08-21 01:41:25","3","20308","How do I really use the `ix` method of a pandas DataFrame?","1","0","4","Paul H","32844","Wouter Overmeire","31478"
"12052067","2012-08-21 09:37:29","20","3229","If I use python pandas, is there any need for structured arrays?","3","1","1","hatmatrix","18763","Wes McKinney","57658"
"12082568","2012-08-22 23:03:38","14","5650","What exactly do the whiskers in pandas' boxplots specify?","4","0","1","vasek1","3803","Chang She","11200"
"12085393","2012-08-23 05:42:14","0","1209","Problems converting a large file to a panel using read_csv into python pandas","2","2","","pynoob","36","",""
"12096252","2012-08-23 16:31:12","502","436314","Use a list of values to select rows from a pandas dataframe","1","3","134","zach","9224","Wouter Overmeire","31478"
"12100396","2012-08-23 21:40:56","2","566","column names on grouped DataFrame output to CSV","1","0","","G Garcia","881","Owen S.","6337"
"12100497","2012-08-23 21:50:36","16","34844","pandas: set values with (row, col) indices","2","1","3","duckworthd","6261","",""
"12101113","2012-08-23 22:54:04","15","7077","Prevent pandas from automatically inferring type in read_csv","2","5","6","duckworthd","6261","Paul H","32844"
"12107053","2012-08-24 09:52:54","2","567","include Pandas plot in MatplotlibWidget","0","3","","bigsleep","152","",""
"12110812","2012-08-24 13:54:16","0","514","Processing multiple values string in Pandas DataFrame column","1","1","","G Garcia","881","",""
"12115421","2012-08-24 19:18:31","0","295","Pandas Time Series from text","1","0","","","","",""
"12133075","2012-08-26 19:10:01","21","6374","Sorting a pandas series","2","0","8","vasek1","3803","Wes McKinney","57658"
"12138126","2012-08-27 07:53:22","3","4273","Difference between parse_date=[0] and parse_date=True in pandas.read_csv","2","0","","SlimJim","1489","Wouter Overmeire","31478"
"12140417","2012-08-27 10:40:17","7","1332","pandas: normalizing a DataFrame","1","0","2","max","17282","Wouter Overmeire","31478"
"12147392","2012-08-27 18:22:33","0","426","Will na_values in the read_fwf()/read_csv()/read_table() be converted after converter functions are performed?","1","0","","Tim Brooks","80","Wouter Overmeire","31478"
"12152716","2012-08-28 04:18:11","21","29826","Python pandas equivalent for replace","2","0","7","ivan-k","521","DSM","218186"
"12167324","2012-08-28 20:49:57","5","852","How to broadcast to a multiindex","1","0","2","ely","40334","",""
"12167634","2012-08-28 21:14:58","1","889","data cleaning a python dataframe","1","0","2","Michele Reilly","368","",""
"12168648","2012-08-28 22:50:21","21","98772","Pandas (python): How to add column to dataframe for index?","3","0","6","Navneet","2605","nitin","3718"
"12169170","2012-08-28 23:58:47","44","41546","Find the max of two or more columns with pandas","2","0","14","Navneet","2605","DSM","218186"
"12178808","2012-08-29 13:12:38","3","1959","Pandas datetime index from seconds series","1","0","","RJCL","164","Chang She","11200"
"12182744","2012-08-29 16:46:39","97","109990","python pandas: apply a function with arguments to a series","4","2","36","Abe","6889","Bakuriu","67729"
"12183432","2012-08-29 17:30:24","4","3703","Typecasting before division (or any other mathematical operator) of columns in dataframes","2","0","2","Navneet","2605","Eero Aaltonen","2402"
"12184558","2012-08-29 18:47:18","2","3417","easy-install with Portable Python: no module named parse","1","1","","Stéphane Laurent","17336","Simeon Visser","84396"
"12186994","2012-08-29 21:47:00","4","6319","Johansen cointegration test in python","3","0","3","mspadaccino","123","Josef","14548"
"12190716","2012-08-30 06:00:25","9","11059","How to do a 'groupby' by multilevel index in Pandas","2","0","5","bigbug","12405","Wouter Overmeire","31478"
"12193253","2012-08-30 08:54:00","3","4369","pandas merge timeseries, concat/append/...?","2","1","2","bigsleep","152","eumiro","133966"
